position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	0.00199794	0.999983	1.743e-05	2.35941e-06	0.999998
N/A	0.0019982	0.999963	3.71577e-05	7.70537e-06	0.999992
N/A	0.00199823	0.999959	4.11245e-05	0.000149447	0.999851
N/A	0.00199841	0.999977	2.29651e-05	1.41831e-07	1
N/A	0.00199856	0.999965	3.4592e-05	4.47425e-05	0.999955
N/A	0.00199857	0.999974	2.60317e-05	6.28123e-07	0.999999
N/A	0.00199867	0.999957	4.25885e-05	3.06512e-06	0.999997
N/A	0.00199892	0.999955	4.50046e-05	1.07921e-09	1
N/A	0.0019991	0.999964	3.60182e-05	1.40805e-05	0.999986
N/A	0.00199911	0.99995	4.97486e-05	5.29339e-05	0.999947
N/A	0.0019992	0.999977	2.28488e-05	1.76985e-08	1
N/A	0.00199933	0.999958	4.21681e-05	9.04854e-08	1
N/A	0.00199939	0.999957	4.27284e-05	6.81154e-09	1
N/A	0.00199954	0.999965	3.49292e-05	4.83325e-08	1
N/A	0.00199956	0.999971	2.89396e-05	2.13342e-05	0.999979
N/A	0.00199961	0.999957	4.34321e-05	4.57804e-07	1
N/A	0.00199961	0.999976	2.43044e-05	2.02028e-05	0.99998
N/A	0.00199966	0.999962	3.77555e-05	3.5791e-09	1
N/A	0.00199975	0.999955	4.53424e-05	0.000409537	0.99959
N/A	0.00199988	0.999954	4.55762e-05	4.32486e-08	1
N/A	0.00199989	0.999964	3.61504e-05	2.65753e-09	1
N/A	0.00199995	0.99997	2.95654e-05	5.22257e-05	0.999948
N/A	0.00200002	0.999966	3.39593e-05	6.6814e-09	1
N/A	0.00200004	0.999968	3.249e-05	1.05141e-06	0.999999
N/A	0.00200031	0.999979	2.12052e-05	7.90322e-07	0.999999
N/A	0.00200039	0.999961	3.85396e-05	2.31753e-07	1
N/A	0.00200045	0.999963	3.70191e-05	4.15661e-08	1
N/A	0.00200066	0.999967	3.27839e-05	8.42084e-05	0.999916
N/A	0.00200076	0.999963	3.69886e-05	1.3199e-07	1
N/A	0.00200081	0.999973	2.67363e-05	3.00645e-09	1
N/A	0.00200082	0.999971	2.85816e-05	0.000559217	0.999441
N/A	0.00200091	0.999969	3.10627e-05	2.47115e-05	0.999975
N/A	0.00200098	0.999966	3.41194e-05	3.30035e-09	1
N/A	0.00200119	0.999968	3.19351e-05	7.57157e-06	0.999992
N/A	0.00200122	0.999972	2.78774e-05	5.10177e-05	0.999949
N/A	0.00200152	0.999974	2.61322e-05	1.23465e-09	1
